can_fly,Class,Order,phylo_dist,Family,Genus.species,Common Name,Typical_Diet,Mass g (mean/median from study),mass-citation-if-not-from-retention-study,Food in Feeding Trial,Feeding.Trial.Food.Cat,N_individuals,N_trials,retention metric description,Minimum (min),IQR_1,Median (min),Mean (min),IQR_3,Maximum (min),SD,SE,mrt (min),mrt_sd,mrt_se,Retention.Citation,Notes,includes keywords,original submision
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Tragelaphus angasii,nyala,folivore,64000.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,6,,mean retention time,,,,,,,,,2250.00000000,432.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Tragelaphus eurycerus,bongo,folivore,183000.00000000,,wheat brain + Co-EDTA,fiber/foliage,3,,mean retention time,,,,,,,,,1566.00000000,162.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Tragelaphus eurycerus,bongo,folivore,183000.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,3,,mean retention time,,,,,,,,,2664.00000000,462.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Tragelaphus spekii,sitatunga,folivore,50000.00000000,,wheat brain + Co-EDTA,fiber/foliage,4,,mean retention time,,,,,,,,,1806.00000000,108.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Artiodactyla,188.00000000,Bovidae,Tragelaphus spekii,sitatunga,folivore,50000.00000000,,wheat brain + chromium mordanted fiber,fiber/foliage,4,,mean retention time,,,,,,,,,2646.00000000,342.00000000,,Przybylo et al 2019,,no,No
N,Mammalia,Sirenia,198.37740000,Trichechidae,Trichechus manatus latirostris,Florida manatee,folivore,818000.00000000,"mean of 4 in Study 1: 1136, 909, 409, 818 kg",colored corncob tracker in hay,fiber/foliage,4,2,transit time: first excretia of marker,,,,10080.00000000,,,1584.00000000,,11520.00000000,1584.00000000,,Larkin et al 2007,reported mean gut transit time; reported gut retention time (mean # of days for marker to leave digestive tract),,Yes
N,Mammalia,Diprotodontia,320.00000000,Phalangeridae,Trichosurus vulpecula,silver-gray brushtail possum,folivore,2600.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + Co-EDTA",fiber/foliage,4,,transit time,,,,348.00000000,30.00000000,,,,2178.00000000,786.00000000,,Sakaguchi et al 1990,,no,No
N,Mammalia,Diprotodontia,320.00000000,Phalangeridae,Trichosurus vulpecula,silver-gray brushtail possum,folivore,2600.00000000,,"alfalfa, oats, corn starch, sugar,dry matter, crude protein + cell wall constituents",fiber/foliage,4,,transit time,,,,348.00000000,30.00000000,,,,2172.00000000,789.00000000,,Sakaguchi et al 1990,,no,No
N,Mammalia,Rodentia,0.00000000,Muridae,Uromys caudimaculatus,giant white-tailed rat,omnivore,635.00000000,encyclopedia of life,fungal spores with Co-EDTA,fiber/foliage,not reported,,mean retention time,,,,,,,,,2724.00000000,528.00000000,,Comport et al 1998,only reports mrt,yes,No
N,Mammalia,Rodentia,0.00000000,Muridae,Uromys caudimaculatus,giant white-tailed rat,omnivore,635.00000000,encyclopedia of life,fungal spores with cell wall constituents,fiber/foliage,not reported,,mean retention time,,,,,,,,,3330.00000000,432.00000000,,Comport et al 1998,only reports mrt,yes,No
N,Mammalia,Primates,174.36960000,Lemuridae,Varecia variegata,black-and-white-ruffed lemur,frugivore/nectarivore,3622.00000000,mean of initial and final mass reported in paper,insoluble fiber diet,fiber/foliage,6,2,"TT: transit time, time from feeding to first appearance of marker in feces",,,,237.30000000,,,90.00000000,,462.60000000,162.00000000,,Campbell et al 2004,mean of Co and Cr values per species,,Yes
N,Mammalia,Rodentia,0.00000000,Echimyidae,Myocastor coypus,nutria,folivore,4400.00000000,reported mean,liquid EDTA,fiber/foliage,5,1,transit time: first excretia of marker,,,,300.00000000,,,147.00000000,,2650.20000000,1240.80000000,,Sakaguchi and Nabata 1992,reported in table 3,,Yes
N,Mammalia,Rodentia,0.00000000,Caviidae,Cavia porcellus,guinea pig,folivore,498.00000000,,"alfalfa, wheat bran, maize, sucrose + Co-EDTA",fiber/foliage,5,,transit time,,,,300.00000000,,,,,1224.00000000,,,Sakaguchi et al 1992c,,no,No
N,Mammalia,Rodentia,0.00000000,Caviidae,Cavia porcellus,guinea pig,folivore,498.00000000,,"alfalfa, wheat bran, maize, sucrose + cell wall constituents",fiber/foliage,5,,transit time,,,,300.00000000,,,,,1026.00000000,,,Sakaguchi et al 1992c,,no,No
N,Mammalia,Pilosa,198.37740000,Megalonychidae,Choloepus didactylus,Linnaeus's two-toed sloths,folivore,11266.66667000,,"vegetables, rice, salad + co-EDTA",fiber/foliage,4,,mean retention time,,,,,,,,,6060.00000000,1554.12354700,,Vendl et al 2016,,yes,No
N,Mammalia,Pilosa,198.37740000,Megalonychidae,Choloepus didactylus,Linnaeus's two-toed sloths,folivore,11266.66667000,,"vegetables, rice, salad + chromium mordanted fiber",fiber/foliage,4,,mean retention time,,,,,,,,,8240.00000000,1826.14347700,,Vendl et al 2016,,yes,No
N,Aves,Struthioniformes,637.90000000,Dromaiidae,Dromaius novaehollandiae,emu,omnivore,33000.00000000,,alfalfa pellets + Co-EDTA,fiber/foliage,2,,"TT: transit time, time from feeding to first appearance of marker in feces",,,,210.95420040,,,,,67.50000000,8.48528137,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Aves,Struthioniformes,637.90000000,Dromaiidae,Dromaius novaehollandiae,emu,omnivore,33000.00000000,,alfalfa pellets + chromium mordanted fiber,fiber/foliage,2,,"TT: transit time, time from feeding to first appearance of marker in feces",,,,210.78747580,,,,,93.00000000,21.21320344,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Aves,Struthioniformes,637.90000000,Dromaiidae,Dromaius novaehollandiae,emu,omnivore,33000.00000000,,alfalfa pellets + cerium mordanted fibers,fiber/foliage,2,,"TT: transit time, time from feeding to first appearance of marker in feces",,,,119.64074830,,,,,75.00000000,4.24264069,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Macaca fuscata,Japanese macaque,frugivore/nectarivore,13600.00000000,,high fiber diet+ Co-EDTA,fiber/foliage,4,,mean retention time,,,,,,,,,1755.75000000,198.68550170,,Sawada et al 2011,,yes,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Macaca fuscata,Japanese macaque,frugivore/nectarivore,13600.00000000,,high fiber diet + chromium mordanted fiber,fiber/foliage,4,,mean retention time,,,,,,,,,2107.50000000,115.84595680,,Sawada et al 2011,,yes,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Macaca fuscata,Japanese macaque,frugivore/nectarivore,13600.00000000,,low fiber diet+ Co-EDTA,fiber/foliage,4,,mean retention time,,,,,,,,,2718.00000000,637.46999930,,Sawada et al 2011,,yes,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Macaca fuscata,Japanese macaque,frugivore/nectarivore,13600.00000000,,low fiber diet + chromium mordanted fiber,fiber/foliage,4,,mean retention time,,,,,,,,,2853.00000000,560.91863430,,Sawada et al 2011,,yes,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Macaca fuscata,Japanese macaque,frugivore/nectarivore,9200.00000000,,fiberous pellets + Co-EDTA,fiber/foliage,2,,mean retention time,,,,,,,,,1926.00000000,7.14177849,,Sawada et al 2012,two adults,no,No
N,Mammalia,Primates,174.36960000,Cercopithecidae,Macaca fuscata,Japanese macaque,frugivore/nectarivore,9200.00000000,,fiberous pellets + cell wall constituents,fiber/foliage,2,,mean retention time,,,,,,,,,2643.00000000,13.64716088,,Sawada et al 2012,two adults,no,No
N,Aves,Struthioniformes,637.90000000,Rheidae,Rhea americana,greater rhea,omnivore,24000.00000000,,alfalfa pellets + Co-EDTA,fiber/foliage,5,,"TT: transit time, time from feeding to first appearance of marker in feces",data extracted from figure,,,388.67958150,,,,,822.00000000,438.00000000,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Aves,Struthioniformes,637.90000000,Rheidae,Rhea americana,greater rhea,omnivore,24000.00000000,,alfalfa pellets + chromium mordanted fiber,fiber/foliage,5,,"TT: transit time, time from feeding to first appearance of marker in feces",data extracted from figure,,,390.67562510,,,,,708.00000000,270.00000000,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Aves,Struthioniformes,637.90000000,Rheidae,Rhea americana,greater rhea,omnivore,24000.00000000,,alfalfa pellets + cerium mordanted fibers,fiber/foliage,5,,"TT: transit time, time from feeding to first appearance of marker in feces",data extracted from figure,,,390.40116910,,,,,732.00000000,264.00000000,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Aves,Struthioniformes,637.90000000,Struthionidae,Struthio camelus,common ostrich,omnivore,109000.00000000,,alfalfa pellets + Co-EDTA,fiber/foliage,6,,"TT: transit time, time from feeding to first appearance of marker in feces",data extracted from figure,,,1442.49812900,,,,,1776.00000000,342.00000000,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Aves,Struthioniformes,637.90000000,Struthionidae,Struthio camelus,common ostrich,omnivore,109000.00000000,,alfalfa pellets + chromium mordanted fiber,fiber/foliage,6,,"TT: transit time, time from feeding to first appearance of marker in feces",data extracted from figure,,,1441.41446500,,,,,1962.00000000,168.00000000,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Aves,Struthioniformes,637.90000000,Struthionidae,Struthio camelus,common ostrich,omnivore,109000.00000000,,alfalfa pellets + cerium mordanted fibers,fiber/foliage,6,,"TT: transit time, time from feeding to first appearance of marker in feces",data extracted from figure,,,1442.29850600,,,,,1836.00000000,282.00000000,,Frei et al 2015,TT extracted from figure; MRT reported in main text,no,No
N,Mammalia,Diprotodontia,320.00000000,Phalangeridae,Trichosurus vulpecula,silver-gray brushtail possum,folivore,2850.00000000,https://animaldiversity.org/accounts/Trichosurus_vulpecula/,fiber + fluid marker,fiber/foliage,,,mean retention time,,,,,,,,,3840.00000000,,,Wellard and Hume 1981,,no,No
N,Mammalia,Diprotodontia,320.00000000,Phalangeridae,Trichosurus vulpecula,silver-gray brushtail possum,folivore,2850.00000000,https://animaldiversity.org/accounts/Trichosurus_vulpecula/,fiber + particulate marker,fiber/foliage,,,mean retention time,,,,,,,,,4260.00000000,,,Wellard and Hume 1981,,no,No
N,Mammalia,Cetartiodactyla,,Bovidae,Ovibos moschatus,muskoxen,herbivore,266200.00000000,,grass-alfalfa hay,fiber/foliage,4,1,mean retention time,,,,,,,,,6294.00000000,354.00000000,,Adamczewski et al. (1993),,,No
N,Mammalia,Cetartiodactyla,,Bovidae,Ovibos moschatus,muskoxen,herbivore,252500.00000000,,grass-alfalfa hay,fiber/foliage,4,1,mean retention time,,,,,,,,,4302.00000000,228.00000000,,Adamczewski et al. (1993),,,No
N,Mammalia,Cetartiodactyla,,Bovidae,Ovis canadensis,mountain sheep,herbivore,90000.00000000,,grass-browse,fiber/foliage,3,3,mean retention time,,,,,,,,,3969.67408645,,,Baker and Hobbs (1987),MRT extracted from figure,,No
N,Mammalia,Cetartiodactyla,,Cervidae,Odocoileus hemionus,mule deer,herbivore,60000.00000000,,grass-browse,fiber/foliage,3,6,mean retention time,,,,,,,,,3401.75491909,,,Baker and Hobbs (1987),MRT extracted from figure,,No
N,Mammalia,Cetartiodactyla,,Cervidae,Cervus elaphus,wapiti,herbivore,250000.00000000,,grass-browse,fiber/foliage,3,6,mean retention time,,,,,,,,,4144.45491120,,,Baker and Hobbs (1987),MRT extracted from figure,,No
N,Mammalia,Cetartiodactyla,,Bovidae,Ovibos moschatus,muskoxen,herbivore,239000.00000000,,grass hay + CoEDTA fluid marker,fiber/foliage,8,2,mean retention time,,,,,,,,,2502.00000000,,,Barboza et al. (2006),,,No
N,Mammalia,Cetartiodactyla,,Bovidae,Ovibos moschatus,muskoxen,herbivore,264500.00000000,,grass hay + CoEDTA fluid marker,fiber/foliage,8,2,mean retention time,,,,,,,,,2208.00000000,,,Barboza et al. (2006),,,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
